timestamp,src_ip,dst_ip,protocol,packet_size,src_port,dst_port,threat
2026-05-17 12:35:41.560926,192.168.1.7,23.48.244.32,UDP,71,50111,443,Normal
2026-05-17 12:35:41.639151,192.168.1.7,23.48.244.32,UDP,71,50111,443,Normal
2026-05-17 12:35:41.651048,23.48.244.32,192.168.1.7,UDP,70,443,50111,Normal
2026-05-17 12:35:41.662905,23.48.244.32,192.168.1.7,UDP,72,443,50111,Normal
2026-05-17 12:35:41.973530,192.168.1.7,142.250.76.74,UDP,71,62416,443,Normal
2026-05-17 12:35:42.058767,142.250.76.74,192.168.1.7,UDP,71,443,62416,Normal
2026-05-17 12:35:42.069964,192.168.1.7,23.48.244.32,UDP,71,50111,443,Normal
2026-05-17 12:35:42.147421,23.48.244.32,192.168.1.7,UDP,72,443,50111,Normal
2026-05-17 12:35:42.373134,192.168.1.7,91.108.56.172,TCP,351,55412,443,Normal
2026-05-17 12:35:42.396600,52.168.117.170,192.168.1.7,TCP,429,443,49345,Normal
2026-05-17 12:35:42.397981,192.168.1.7,52.168.117.170,TCP,85,49345,443,Normal
2026-05-17 12:35:42.451352,91.108.56.172,192.168.1.7,TCP,143,443,55412,Normal
2026-05-17 12:35:42.499031,192.168.1.7,91.108.56.172,TCP,54,55412,443,Normal
2026-05-17 12:35:42.740912,52.168.117.170,192.168.1.7,TCP,54,443,49345,Normal
2026-05-17 12:35:42.962496,192.168.1.7,23.48.244.32,UDP,71,50111,443,Normal
2026-05-17 12:35:42.970515,23.48.244.32,192.168.1.7,UDP,71,443,50111,Normal
2026-05-17 12:35:43.249249,52.168.117.170,192.168.1.7,TCP,1454,443,65143,Suspicious
2026-05-17 12:35:43.250190,192.168.1.7,52.168.117.170,TCP,54,65143,443,Normal
2026-05-17 12:35:43.252276,192.168.1.7,52.168.117.170,TCP,1454,65143,443,Suspicious
2026-05-17 12:35:43.253993,192.168.1.7,52.168.117.170,TCP,1454,65143,443,Suspicious
2026-05-17 12:35:43.255478,192.168.1.7,52.168.117.170,TCP,1454,65143,443,Suspicious
2026-05-17 12:35:43.257174,192.168.1.7,52.168.117.170,TCP,1126,65143,443,Suspicious
2026-05-17 12:35:43.578675,52.168.117.170,192.168.1.7,TCP,157,443,65143,Normal
2026-05-17 12:35:43.579681,52.168.117.170,192.168.1.7,TCP,54,443,65143,Normal
2026-05-17 12:35:43.626782,192.168.1.7,52.168.117.170,TCP,54,65143,443,Normal
2026-05-17 12:35:44.232787,192.168.1.7,52.168.117.170,TCP,1454,65143,443,Suspicious
2026-05-17 12:35:44.322196,52.168.117.170,192.168.1.7,TCP,163,443,61485,Normal
2026-05-17 12:35:44.323464,192.168.1.7,52.168.117.170,TCP,128,61485,443,Normal
2026-05-17 12:35:44.538834,52.168.117.170,192.168.1.7,TCP,66,443,65143,Normal
2026-05-17 12:35:44.577689,192.168.1.7,23.48.244.32,UDP,71,50111,443,Normal
2026-05-17 12:35:44.588221,23.48.244.32,192.168.1.7,UDP,71,443,50111,Normal
2026-05-17 12:35:44.628781,52.168.117.170,192.168.1.7,TCP,116,443,61485,Normal
2026-05-17 12:35:44.629861,192.168.1.7,52.168.117.170,TCP,66,61485,443,Normal
2026-05-17 12:35:45.066886,192.168.1.7,52.168.117.170,TCP,54,61485,443,Normal
2026-05-17 12:35:45.068054,192.168.1.7,52.168.117.170,TCP,54,49345,443,Normal
2026-05-17 12:35:45.138159,192.168.1.7,142.250.183.195,UDP,1292,56442,443,Suspicious
2026-05-17 12:35:45.139478,192.168.1.7,142.250.183.195,UDP,1292,56442,443,Suspicious
2026-05-17 12:35:45.140365,192.168.1.7,142.250.183.195,UDP,123,56442,443,Suspicious
2026-05-17 12:35:45.141229,192.168.1.7,142.250.183.195,UDP,942,56442,443,Suspicious
